fon_kodu;kategoriler
TLE;Yabancı Fonlar
TLH;Hisse Senedi Yoğun, Yerli Hisse
TLK;Para Piyasası
TLT;Döviz Fon, Serbest Özel Fonlar, Özel Fon
TLU;Döviz Fon
TLV;Para Piyasası
TLY;K.D.
TLZ;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
TMC;K.D.
TMG;Yabancı Fonlar, Yabancı Hisse
TMM;Döviz Fon
TMR;Serbest Özel Fonlar, Özel Fon
TMU;K.D.
TMZ;Sürdürülebilirlik, Tarım - Gıda, Tematik
TNB;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz), Serbest Özel Fonlar, Özel Fon
TND;K.D.
TNF;Serbest Özel Fonlar, Özel Fon
TNH;Serbest Özel Fonlar, Özel Fon
TNI;Özel Fon
TNK;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
TO8;Döviz Fon
TOK;Döviz Fon
TOT;Borçlanma Araçları - Özel Sektör
TP1;Döviz Fon, Serbest Özel Fonlar, Özel Fon
TP2;Para Piyasası
TPC;K.D.
TPE;Döviz Fon, Eurobond Borçlanma Araçları, Özel Fon
TPF;K.D.
TPJ;Döviz Fon
TPL;Döviz Fon, Eurobond Borçlanma Araçları
TPO;Borçlanma Araçları - Özel Sektör, Özel Fon
TPP;K.D.
TPR;Hisse Senedi Yoğun, Yerli Hisse, Özel Fon
TPV;K.D.
TPZ;Döviz Fon, Kira Sertifikaları - Döviz
TRJ;K.D.
TRN;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
TRO;Altın Fonları, Emtia Fonları
TRU;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
TSI;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
TSP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
TTA;Altın Fonları, Emtia Fonları
TTE;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Teknoloji, Tematik Hisse, Yerli Hisse
TTL;K.D.
TTP;Döviz Fon
TTS;Döviz Fon, Serbest Özel Fonlar, Özel Fon
TTV;K.D.
TTZ;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
TUA;Altın Fonları, Emtia Fonları
TVE;Tarım - Gıda, Tematik
TVN;K.D.
TYH;Hisse Senedi Yoğun, Yerli Hisse
TZC;Özel Fon
TZD;Hisse Senedi Yoğun, Yerli Hisse
TZH;Serbest Özel Fonlar, Özel Fon
TZL;Para Piyasası
TZP;Serbest Özel Fonlar, Özel Fon
TZT;K.D.
TZV;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
UAB;Döviz Fon, Serbest Özel Fonlar, Özel Fon
UAP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
UCN;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
UCP;Para Piyasası, Serbest Para Piyasası Fonları
UFH;Döviz Fon, Serbest Özel Fonlar, Özel Fon
UHL;Döviz Fon, Serbest Özel Fonlar, Özel Fon
UHS;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
ULH;K.D.
ULL;Döviz Fon, Serbest Özel Fonlar, Özel Fon
UNT;K.D.
UP1;Altın Fonları, Emtia Fonları
UP2;Para Piyasası, Serbest Para Piyasası Fonları
UPD;Döviz Fon
UPH;Hisse Senedi Yoğun, Yerli Hisse
UPP;Para Piyasası
UPS;Serbest Özel Fonlar, Özel Fon
URA;K.D.
URC;Döviz Fon
URD;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
URG;Döviz Fon, Serbest Özel Fonlar, Özel Fon
URM;Döviz Fon, Serbest Özel Fonlar, Özel Fon
URS;Serbest Özel Fonlar, Özel Fon
URV;Serbest Özel Fonlar, Özel Fon
USS;Serbest Özel Fonlar, Özel Fon
UST;Serbest Özel Fonlar, Özel Fon
USY;K.D.
UZY;Serbest İstatistiksel Arbitraj Fonları
VAY;Hisse Senedi Yoğun, Yerli Hisse
VCY;Elektrikli Araç, Teknoloji, Tematik
VFK;Kira Sertifikaları, Kira Sertifikaları - Kısa Vadeli, Kısa Vadeli
VFO;Altın Fonları, Emtia Fonları
VFS;Serbest Özel Fonlar, Özel Fon
VHS;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
VK6;Para Piyasası
VKI;Kısa Vadeli, Serbest Katılım Fonları
VKK;Kira Sertifikaları
VKT;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
VKV;Kira Sertifikaları, Kira Sertifikaları - Kısa Vadeli, Kısa Vadeli
VLT;Altın Fonları, Emtia Fonları
VMV;K.D.
VNK;K.D.
VPA;Para Piyasası
VPP;Döviz Fon
VPS;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
VRK;K.D.
VTF;Serbest Özel Fonlar, Özel Fon
VTL;Kira Sertifikaları, Kira Sertifikaları - Kısa Vadeli, Kısa Vadeli
YAC;K.D.
YAE;K.D.
YAK;K.D.
YAN;K.D.
YAR;Özel Fon
YAS;Hisse Senedi Yoğun, Holding, Tematik Hisse, Yerli Hisse
YAY;Teknoloji, Tematik Hisse, Yabancı Fonlar, Yabancı Hisse
YBE;Eurobond Borçlanma Araçları
YBH;Döviz Fon
YBJ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YBP;Özel Fon
YBR;Döviz Fon
YBS;Borçlanma Araçları - Özel Sektör
YCG;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YCH;Özel Fon
YCK;K.D.
YCP;Bankacılık, Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
YCY;K.D.
YDI;Hisse Senedi Yoğun, Yerli Hisse
YDK;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
YDL;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YDM;Serbest Özel Fonlar, Özel Fon
YDP;K.D.
YDZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YEF;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
YFV;Kira Sertifikaları
YGM;Emtia Fonları
YHB;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
YHI;Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
YHK;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
YHP;K.D.
YHS;Hisse Senedi Yoğun, Yerli Hisse
YHT;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
YHY;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
YHZ;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Teknoloji, Tematik Hisse, Yerli Hisse
YIK;Para Piyasası, Serbest Para Piyasası Fonları
YIS;Serbest Özel Fonlar, Özel Fon
YIT;Teknoloji, Tematik
YIV;Özel Fon
YJA;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YJH;Sürdürülebilirlik, Tematik
YJK;Teknoloji, Tematik
YJU;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YJY;Döviz Fon
YKS;K.D.
YKT;Altın Fonları, Emtia Fonları
YLB;Para Piyasası
YLC;Tarım - Gıda, Tematik
YLE;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Sürdürülebilirlik, Tematik Hisse, Yerli Hisse
YLO;Elektrikli Araç, Teknoloji, Tematik
YLR;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YLY;Hisse Senedi Yoğun, Kar Payı Ödeyen Fonlar, Yerli Hisse
YLZ;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
YMD;Döviz Fon
YMH;Hisse Senedi Yoğun, Mutlak Getiri Hedefli
YMP;Para Piyasası, Özel Fon
YNK;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
YNL;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YOA;Döviz Fon, Özel Fon
YOS;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YOT;K.D.
YOZ;Döviz Fon
YP1;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YP2;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YP4;Döviz Fon
YPC;Sürdürülebilirlik, Tematik
YPD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YPF;K.D.
YPI;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YPK;K.D.
YPL;Döviz Fon
YPN;Döviz Fon
YPP;Serbest Özel Fonlar, Özel Fon
YPR;Hisse Senedi Yoğun, Yerli Hisse
YPT;Para Piyasası, Serbest Para Piyasası Fonları
YPU;Döviz Fon
YPV;K.D.
YRZ;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
YSA;Döviz Fon
YSF;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YSH;K.D.
YSL;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz), Kira Sertifikaları - Döviz, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
YSO;Sağlık - İlaç, Tematik
YSU;K.D.
YTC;Döviz Fon
YTD;Yabancı Fonlar
YTJ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YTO;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YTR;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YTV;Tarım - Gıda, Tematik
YTY;Döviz Fon
YUB;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
YUD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YUI;Serbest Özel Fonlar, Özel Fon
YUK;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
YUN;Döviz Fon
YUY;Kar Payı Ödeyen Fonlar, Serbest Özel Fonlar, Özel Fon
YVB;Uzun Vadeli Borçlanma Araçları
YVD;Para Piyasası
YVF;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YVG;Döviz Fon
YVO;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YVS;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YZC;Blockchain, Teknoloji, Tematik
YZF;Döviz Fon, Serbest Özel Fonlar, Özel Fon
YZG;Emtia Fonları, Gümüş Fonları
YZH;Bankacılık, Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
YZK;K.D.
YZL;Serbest Özel Fonlar, Özel Fon
YZT;Teknoloji, Tematik
ZA2;Para Piyasası
ZAD;Serbest Katılım Fonları
ZAV;Döviz Fon
ZAY;Para Piyasası
ZBD;K.D.
ZBI;K.D.
ZBJ;Para Piyasası
ZBN;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
ZBO;Hisse Senedi Yoğun, Mutlak Getiri Hedefli
ZBZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ZCA;Serbest Özel Fonlar, Özel Fon
ZCB;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ZCC;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ZCD;K.D.
ZCE;Altın Fonları, Emtia Fonları, Serbest Özel Fonlar, Özel Fon
ZCF;Serbest Özel Fonlar, Özel Fon
ZCH;Serbest Özel Fonlar, Özel Fon
ZCK;K.D.
ZCN;Emtia Fonları
ZDD;K.D.
ZDK;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
ZDZ;K.D.
ZFB;Blockchain, Teknoloji, Tematik
ZFZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ZHH;Hisse Senedi Yoğun, Sürdürülebilirlik, Tematik Hisse, Yerli Hisse
ZJB;K.D.
ZJH;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ZJI;K.D.
ZJL;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
ZJR;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
ZJT;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ZJV;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
ZK1;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
ZK2;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
ZKK;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
ZLB;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ZLG;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ZLH;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
ZMT;Döviz Fon
ZMU;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
ZMY;Teknoloji, Tematik
ZNF;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ZP1;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ZP2;Serbest Özel Fonlar, Serbest İstatistiksel Arbitraj Fonları, Özel Fon
ZP3;Serbest Özel Fonlar, Serbest İstatistiksel Arbitraj Fonları, Özel Fon
ZP6;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
ZP7;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ZP8;Para Piyasası, Serbest Katılım Fonları, Serbest Para Piyasası Fonları
ZP9;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
ZPA;Döviz Fon
ZPC;K.D.
ZPE;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
ZPF;Döviz Fon
ZPG;Kira Sertifikaları
ZPH;Para Piyasası, Serbest Katılım Fonları, Serbest Para Piyasası Fonları
ZPJ;Hisse Senedi Yoğun, Katılım Hisse, Serbest Hisse, Serbest Katılım Fonları, Serbest Katılım Hisse, Yerli Hisse
ZPK;Kira Sertifikaları, Kira Sertifikaları - Kısa Vadeli, Kısa Vadeli
ZPN;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ZPO;K.D.
ZPR;Para Piyasası, Serbest Para Piyasası Fonları
ZR2;Serbest Özel Fonlar, Sürdürülebilirlik, Tematik, Özel Fon
ZSB;Serbest İstatistiksel Arbitraj Fonları
ZSF;Yabancı Fonlar, Yabancı Hisse
ZSG;Sürdürülebilirlik, Tematik
ZSK;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
ZSN;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ZTF;Serbest Özel Fonlar, Serbest İstatistiksel Arbitraj Fonları, Özel Fon
ZTG;Tarım - Gıda, Tematik
ZUD;Serbest Özel Fonlar, Özel Fon
ZUE;Serbest Özel Fonlar, Özel Fon
ZUS;Döviz Fon
ZVO;K.D.
ZYC;Serbest Özel Fonlar, Özel Fon
ZYD;Serbest Özel Fonlar, Özel Fon
