fon_kodu;kategoriler
DPI;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
DPK;Kira Sertifikaları
DPL;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DPN;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DPP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DPR;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DPT;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Kar Payı Ödeyen Fonlar, Tematik Hisse, Yerli Hisse
DPZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DRA;K.D.
DRD;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
DRH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
DRT;Teknoloji, Tematik
DSC;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DSD;Döviz Fon
DSP;K.D.
DSV;Döviz Fon
DTH;Hisse Senedi Yoğun, Teknoloji, Tematik Hisse, Yerli Hisse
DTL;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
DTM;Kar Payı Ödeyen Fonlar
DTO;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
DTP;Serbest Özel Fonlar, Özel Fon
DTV;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DTZ;Teknoloji, Tematik
DUC;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
DUD;Döviz Fon
DUH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
DUT;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
DUV;Uzun Vadeli Borçlanma Araçları
DVC;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DVI;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DVN;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DVO;Serbest Özel Fonlar, Özel Fon
DVS;Kısa Vadeli
DVT;Teknoloji, Tematik
DVU;Serbest Özel Fonlar, Özel Fon
DVZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DXP;Hisse Senedi Yoğun, Yerli Hisse
DYJ;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
DYN;Elektrikli Araç, Teknoloji, Tematik
DZ2;Serbest Özel Fonlar, Özel Fon
DZE;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
DZM;Döviz Fon
DZP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
EBD;K.D.
EBI;Döviz Fon
EBS;Döviz Fon
EC2;Hisse Senedi Yoğun, Yerli Hisse
ECA;K.D.
ECB;Para Piyasası
ECV;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
EDD;Özel Fon
EDN;K.D.
EDP;Para Piyasası, Serbest Para Piyasası Fonları
EDT;K.D.
EDU;K.D.
EES;Döviz Fon, Serbest Özel Fonlar, Özel Fon
EGP;Döviz Fon, Sürdürülebilirlik, Tematik
EGR;K.D.
EHS;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
EIB;K.D.
EID;Hisse Senedi Yoğun, Yerli Hisse
EIL;Para Piyasası
EJG;Serbest Özel Fonlar, Özel Fon
EKF;Kira Sertifikaları
EKL;Para Piyasası
ELZ;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
EME;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
EML;Tematik
ENA;Özel Fon
ENJ;Hisse Senedi Yoğun, Yerli Hisse
ENO;Döviz Fon
ENR;Para Piyasası
ENS;Özel Fon
EP1;Para Piyasası
EPA;Para Piyasası
EPI;Tematik
EPK;K.D.
EPO;Döviz Fon, Serbest Özel Fonlar, Özel Fon
EPP;Para Piyasası, Serbest Para Piyasası Fonları
EPT;Para Piyasası
ESG;Sürdürülebilirlik, Tematik
ESP;Emtia Fonları
EUN;Döviz Fon
EUZ;Döviz Fon
EVM;Tematik
EYT;K.D.
EZM;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
FAK;Altın Fonları, Emtia Fonları
FAL;Altın Fonları, Emtia Fonları
FBC;Kar Payı Ödeyen Fonlar
FBI;Döviz Fon
FBV;K.D.
FBZ;Teknoloji, Tematik
FCK;K.D.
FD1;K.D.
FDE;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
FDG;K.D.
FDO;Döviz Fon, Serbest Özel Fonlar, Özel Fon
FDV;K.D.
FDY;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
FDZ;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
FFD;Para Piyasası
FFF;Döviz Fon, Serbest Özel Fonlar, Özel Fon
FFH;K.D.
FFO;Döviz Fon
FFP;K.D.
FHI;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
FHP;Para Piyasası, Serbest Para Piyasası Fonları, Serbest Özel Fonlar, Özel Fon
FHZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
FI3;K.D.
FI5;Para Piyasası
FIB;Altın Fonları, Emtia Fonları
FID;K.D.
FIL;Para Piyasası
FIT;K.D.
FJB;Blockchain, Teknoloji, Tematik
FJC;Döviz Fon
FJM;Döviz Fon
FJN;Döviz Fon
FJZ;Döviz Fon
FKE;Döviz Fon
FKH;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
FKV;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
FLS;Döviz Fon
FLY;Teknoloji, Tematik
FMG;Emtia Fonları, Gümüş Fonları
FMS;Döviz Fon, Serbest Özel Fonlar, Özel Fon
FMV;K.D.
FNO;K.D.
FNT;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
FP4;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
FPE;Döviz Fon, Eurobond Borçlanma Araçları
FPG;Emtia Fonları, Gümüş Fonları
FPH;Hisse Senedi Yoğun, Yerli Hisse
FPI;Para Piyasası
FPK;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
FPR;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
FPZ;Döviz Fon
FRA;Serbest Özel Fonlar, Özel Fon
FRC;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
FRZ;Serbest Özel Fonlar, Özel Fon
FS1;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
FS2;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
FS3;Hisse Senedi Yoğun, Katılım Hisse, Serbest Hisse, Serbest Katılım Fonları, Serbest Katılım Hisse, Yerli Hisse
FS4;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
FS5;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
FS6;Serbest İstatistiksel Arbitraj Fonları
FSF;Para Piyasası, Serbest Para Piyasası Fonları
FSG;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
FSH;K.D.
FSK;Para Piyasası
FSM;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
FSP;Döviz Fon
FSR;Döviz Fon
FSU;K.D.
FSV;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
FTL;Para Piyasası
FTM;Döviz Fon
FTY;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
FUA;Hisse Senedi Yoğun, Yerli Hisse
FUB;Döviz Fon, Eurobond Borçlanma Araçları
FUM;Döviz Fon, Serbest Özel Fonlar, Özel Fon
FUN;Döviz Fon
FUP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
FYB;Döviz Fon, Serbest Özel Fonlar, Özel Fon
FYD;Hisse Senedi Yoğun, Yerli Hisse
FYF;Hisse Senedi Yoğun, Mutlak Getiri Hedefli
FYG;Döviz Fon, Serbest Özel Fonlar, Özel Fon
FYH;Döviz Fon
FYI;K.D.
FYM;Döviz Fon
FYO;Borçlanma Araçları - Özel Sektör
FYT;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
FYZ;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
FZJ;K.D.
FZP;K.D.
GA1;K.D.
GAC;Döviz Fon
