fon_kodu;fon_adi;kanal;islem_tipi;tarih;pay_sayisi;fiyat
PAF;PARDUS PORTFÖY ALTIN FONU;YKB;SATIM;2024-05-14;821;1.298693
NVB;NEO PORTFÖY İKİNCİ PARA PİYASASI (TL) FON;YKB;ALIM;2024-05-16;38617;1.812672
ZBJ;ZİRAAT PORTFÖY BAŞAK PARA PİYASASI (TL) FONU;YKB;ALIM;2024-05-16;36134;1.937225
PPN;NUROL PORTFÖY PARA PİYASASI (TL) FONU;YKB;ALIM;2024-05-16;31276;2.129459
IIH;İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);VKF;ALIM;2024-06-06;30;24.223657
IOO;İŞ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU;VKF;ALIM;2024-06-25;16316;1.839668
TI2;İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-06-26;20000;0.1033392483
IHK;İŞ PORTFÖY İŞ''TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-06-26;217;13.763081
IIH;İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-06-26;117;25.452223
SAS;AK PORTFÖY SABANCI TOPLULUĞU ŞİRKETLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-06-26;2493;1.203268
GSP;AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-06-26;2641;0.378504
MMH;AKTİF PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-06-26;88;11.270822
AAK;ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON;YKB;ALIM;2024-06-26;520;22.64976
IHK;İŞ PORTFÖY İŞ''TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-07-10;980;14.281323
TI2;İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-07-10;130000;0.10649763539999998
AFA;AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU;YKB;ALIM;2024-07-10;22226;0.629888
IVY;İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON;YKB;ALIM;2024-07-10;5307;2.637789
AFT;AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU;YKB;ALIM;2024-07-10;31066;0.450643
IOO;İŞ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU;VKF;SATIM;2024-07-16;1600;1.893258
IOO;İŞ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU;VKF;SATIM;2024-07-18;500;1.898148
IOO;İŞ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU;VKF;SATIM;2024-07-24;7850;1.913292
IHK;İŞ PORTFÖY İŞ''TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-08-06;144;13.136744
TI2;İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-08-06;20000;0.0980090262
IIH;İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-08-06;288;24.228224
IOO;İŞ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU;VKF;SATIM;2024-09-09;6366;2.038679
EIL;ASTRA PORTFÖY PARA PİYASASI (TL) FONU;YKB;ALIM;2024-09-16;17410;2.298251
IIH;İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-09-20;284;24.647002
BGP;AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU;YKB;ALIM;2024-10-25;11491;3.045625
TI7;İŞ PORTFÖY DENGELİ DEĞİŞKEN FON;YKB;ALIM;2024-10-30;271;52.596782
IDH;İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-10-30;125;7.979007
IHK;İŞ PORTFÖY İŞ''TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-10-30;773;11.629967
HKH;HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-10-30;175;5.706941
TI2;İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-10-30;110000;0.08598448
IIH;İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-10-30;415;21.640911
NNF;HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2024-10-30;69;14.35406
YKT;YAPI KREDİ PORTFÖY ALTIN FONU;YKB;ALIM;2024-11-14;118784;0.42093
NAU;NEO PORTFÖY ALTIN FONU;YKB;ALIM;2024-11-14;57834;1.383257
YKT;YAPI KREDİ PORTFÖY ALTIN FONU;YKB;ALIM;2024-11-15;119143;0.419662
NAU;NEO PORTFÖY ALTIN FONU;YKB;ALIM;2024-11-15;58585;1.365514
YKT;YAPI KREDİ PORTFÖY ALTIN FONU;YKB;ALIM;2024-11-26;115823;0.431693
NAU;NEO PORTFÖY ALTIN FONU;YKB;ALIM;2024-11-26;59541;1.427584
IRF;İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ FONU;YKB;SATIM;2024-11-27;556;3.601155
IRF;İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ FONU;VKF;SATIM;2024-11-27;12300;3.601155
GPA;GARANTİ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU;VKF;SATIM;2024-11-27;131;14.69562
EYT;AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU;YKB;SATIM;2024-11-27;480;1.533279
EYT;AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU;VKF;SATIM;2024-11-27;27863;1.533279
AAK;ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON;YKB;SATIM;2024-11-27;520;23.506524
TLE;AURA PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU;VKF;SATIM;2024-11-28;100;17.353873
FPE;FİBA PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ)FONU;VKF;SATIM;2024-11-28;44;49.284923
IPB;İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;ALIM;2024-11-28;4858;0.61744
GA1;GARANTİ PORTFÖY BORÇLANMA ARAÇLARI FONU;YKB;ALIM;2024-11-29;10;1188.699423
DBH;DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU;VKF;SATIM;2024-11-29;9500;0.245796
AES;AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU;YKB;SATIM;2024-11-29;10262;0.085703
ACD;İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON;YKB;ALIM;2024-11-29;2697;3.707627
YOT;YAPI KREDİ PORTFÖY BORÇLANMA ARAÇLARI FONU;YKB;ALIM;2024-11-29;409;24.400484
YSU;YAPI KREDİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON;YKB;ALIM;2024-11-29;95909;0.104265
NJR;NUROL PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU;YKB;ALIM;2024-11-29;10852;2.764322
HVK;HEDEF PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU;YKB;ALIM;2024-11-29;10986;2.730688
AN1;STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;ALIM;2024-12-06;173;63.477202
BGP;AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU;YKB;SATIM;2024-12-10;1090;3.237644
BGP;AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU;YKB;ALIM;2024-12-10;2162;3.237644
